Zmienna;Jednostka terytorialna;Jednostka;Rok;Kwarta³;Wartoœæ
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2013;2;3814,59
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2013;3;3860,11
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2013;4;3894,93
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2014;1;3926,54
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2014;2;3969,18
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2014;3;3990,76
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2014;4;4034,25
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2015;1;4075,38
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2015;2;4088,83
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2015;3;4134,93
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2015;4;4185,99
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2016;1;4219,55
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2016;2;4259,92
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2016;3;4305,92
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2016;4;4320,8
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2017;1;4411,04
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2017;2;4483,19
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2017;3;4565,4
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2017;4;4652,4
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2018;1;4722,17
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2018;2;4814,32
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2018;3;4885,86
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2018;4;4981,04
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2019;1;5032,44
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2019;2;5142,75
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2019;3;5223,18
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2019;4;5278,71
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2020;1;5369,2
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2020;2;5251,36
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2020;3;5452,85
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2020;4;5574,27
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2021;1;5666,6
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2021;2;5776,86
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2021;3;5969,47
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2021;4;6151,25
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2022;1;6317,32
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2022;2;6556,98
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2022;3;6828,44
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2022;4;6919,62
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2023;1;7133,84
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2023;2;7353,18
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2023;3;7563,31
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2023;4;7737,15
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2024;1;8001,09
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2024;2;8161,6
Przeciêtne miesiêczne wynagrodzenia brutto w sektorze przedsiêbiorstw;Polska;z³;2024;3;8381,15
