,Liczba mieszkań oddanych do użytkowania,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,I,I-II,I-III,I-IV,I-V,I-VI,I-VII,I-VIII,I-IX,I-X,I-XI,I-XII
162,pozostałe,178,325,443,503,541,655,1489,1856,2145,2604,3041,3386
163,,2018a,,,,,,,,,,,
164,OGÓŁEM,15005,29926,44634,58495,70467,82786,99423,115838,129752,148623,165093,185063
165,indywidualne,6418,12133,18041,22994,27843,32655,38156,43435,48166,54442,59997,66220.112317
166,sprzedaż lub wynajem,8190,17032,25548,33989,40792,48028,58860,69504,77754,89473,99408,112317
167,spółdzielcze,111,349,489,698,894,1004,1197,1425,1775,2167,2545,3024
168,pozostałe,286,412,556,814,938,1099,1210,1474,2057,2541,3143,3501.887683000008
169,,2019,,,,,,,,,,,
170,OGÓŁEM,17405,32426,47417,65090,80064,94476,111384,128718,145716,166308,185350,207425
171,indywidualne,6270,11715,17251,22987,28366,33097,39012,44431,49787,56260,62011,69226
172,sprzedaż lub wynajem,10791,19916,28768,40539,49760,58770,69193,80133,91171,104397,117214,131435
173,spółdzielcze,81,280,667,703,832,954,1191,1436,1510,1893,2037,2167
174,pozostałe,263,515,731,861,1106,1655,1988,2718,3248,3758,4088,4597
175,,2020,,,,,,,,,,,
176,OGÓŁEM,18501,34008,49577,63693,80036,97072,120720,136903,156272,177245,197805,220831
177,indywidualne,6541,12780,17938,21737,26754,32668,40267,46193,52601,59645,66119,73991
178,sprzedaż lub wynajem,11608,20542,30737,40906,51923,62633,78540,88602,101104,114466,128106,142691
179,spółdzielcze,248,328,404,454,515,661,705,816,995,1104,1265,1498
180,pozostałe,104,358,498,596,844,1110,1208,1292,1572,2030,2315,2651
181,,2021,,,,,,,,,,,
182,OGÓŁEM,17462,33784,53066,72085,87857,105444,124396,142979,164096,186193,210656,234680
183,indywidualne,6888,13767,21441,28707,35522,42339,49723,56785,63564,71166,78755,88130
184,sprzedaż lub wynajem,10296,19487,30515,41877,50555,60646,71839,83086,97211,111186,127641,141941
185,spółdzielcze,162,162,521,643,800,1253,1308,1374,1377,1723,1934,2019
186,pozostałe,116,368,589,858,980,1206,1526,1734,1944,2118,2326,2590
187,,2022,,,,,,,,,,,
188,OGÓŁEM,16739,35126,54667,73298,91407,109195,126630,145307,167003,189049,214962,238490
189,indywidualne,7329,15036,23893,31599,38254,44846,51573,58229,65214,73134,81694,90734
190,sprzedaż lub wynajem,9001,19333,29610,40446,51712,62758,73397,85189,99616,113222,130015,143971
191,spółdzielcze,268,316,568,642,642,743,743,774,944,1036,1387,1513
192,pozostałe,141,441,596,611,799,848,917,1115,1229,1657,1866,2272
193,,2023,,,,,,,,,,,
194,OGÓŁEM,19043,34918,55051,75873,93594,111860,126785,144566,160843,181569,199957,221259
195,indywidualne,7760,14939,23521,34030,41118,45547,50477,55756,60821,66940,72898,79365
196,sprzedaż lub wynajem,11091,19342,30417,40591,50959,64499,74182,86293,96935,111044,123104,137583
197,spółdzielcze,21,194,427,477,579,579,733,734,849,910,963,1006
198,pozostałe,171,443,686,775,938,1235,1393,1783,2238,2675,2992,3305
199,,2024,,,,,,,,,,,
200,OGÓŁEM,14909,31011,48286,64243,79164,95615,114244,128830,145411,162544,,
201,indywidualne,6165,12027,18087,24016,29257,34660,40870,46332,51631,57685,,
202,sprzedaż lub wynajem,8312,18232,29106,38768,48053,58662,70067,78514,89608,99938,,
203,spółdzielcze,36,36,56,119,180,300,840,840,841,1037,,
204,pozostałe,396,716,1037,1340,1674,1993,2467,3144,3331,3884,,
205,"a)Od stycznia 2018 r.dane dotyczące efektów ""budownictwa indywidulanego"" realizowanego z przeznaczeniem na sprzedaż lub wynajem zostały włączone do formy ""budownictwo przeznaczone na sprzedaż lub wynajem""; dla lat 2005-2017 dane zostały przeliczone ",,,,,,,,,,,,
